hotel_id,name,city,price_per_night,rating,amenities
1,Hotel_Chennai_1,Chennai,7918.06,2.7,"Bar,Pool,Room Service,Spa,Breakfast,Heater"
2,Hotel_Udaipur_2,Udaipur,4455.8,4.3,"Breakfast,Gym,AC,Heater,Bar"
3,Hotel_Mumbai_3,Mumbai,4098.32,3.4,"Gym,Heater,Spa,Room Service,Parking"
4,Hotel_Shimla_4,Shimla,1765,4.9,"Gym,AC,Room Service,Pool,Spa"
5,Hotel_Delhi_5,Delhi,4628.77,3,"Room Service,Bar,Spa"
6,Hotel_Goa_6,Goa,2548.05,4,"Parking,Room Service,Pool"
7,Hotel_Kerala_7,Kerala,1154.55,3.2,"AC,Gym,Parking"
8,Hotel_Agra_8,Agra,5141.86,4.7,"Pool,Room Service,Heater,AC,Parking,Bar"
9,Hotel_Udaipur_9,Udaipur,3447.41,3,"Breakfast,Heater,Wifi,AC"
10,Hotel_Goa_10,Goa,3178.38,3.6,"Parking,Spa,Gym,Wifi"
11,Hotel_Goa_11,Goa,4229.64,4.2,"Room Service,Spa,Bar"
12,Hotel_Goa_12,Goa,1844.68,3.8,"Breakfast,Heater,Pool,Gym"
13,Hotel_Chennai_13,Chennai,3403.43,2.7,"Parking,AC,Bar"
14,Hotel_Chennai_14,Chennai,2073.06,3.4,"Parking,Breakfast,Pool"
15,Hotel_Goa_15,Goa,6485.93,4.2,"Gym,Wifi,Room Service"
16,Hotel_Manali_16,Manali,5094.04,4.9,"Heater,Gym,Wifi,Parking"
17,Hotel_Udaipur_17,Udaipur,1834.8,4.5,"Bar,Parking,Spa"
18,Hotel_Delhi_18,Delhi,2758.47,3.7,"Spa,Bar,Heater,AC,Gym"
19,Hotel_Manali_19,Manali,4474.62,3.7,"Room Service,Parking,Breakfast,Pool,Wifi"
20,Hotel_Shimla_20,Shimla,7180.86,3.9,"Parking,Wifi,AC,Bar"
21,Hotel_Goa_21,Goa,6419.74,3.3,"Spa,Parking,Room Service,AC,Breakfast,Gym"
22,Hotel_Udaipur_22,Udaipur,6876.16,3.8,"Wifi,Spa,Heater,Breakfast,Pool,Parking"
23,Hotel_Chennai_23,Chennai,2966.21,3.8,"Gym,Pool,Room Service"
24,Hotel_Manali_24,Manali,6645.75,2.7,"Gym,Bar,AC,Spa,Heater,Room Service"
25,Hotel_Goa_25,Goa,6043.67,4.6,"Room Service,Breakfast,Bar,Spa,Wifi"
26,Hotel_Manali_26,Manali,6557.13,4,"Room Service,Heater,Wifi"
27,Hotel_Agra_27,Agra,5543.98,3.6,"Wifi,Spa,Gym,Parking,Heater,Room Service"
28,Hotel_Delhi_28,Delhi,4976.48,4.1,"Parking,Wifi,Pool,Heater,Room Service,Spa"
29,Hotel_Delhi_29,Delhi,3386.97,4.6,"Gym,Heater,Breakfast"
